請求コード,品名,分類
610407144,コナン錠２０ｍｇ,ht
610407147,アテレック錠５　５ｍｇ,ht
610407148,アテレック錠１０　１０ｍｇ,ht
610409327,オドリック錠０．５ｍｇ,ht
610409328,オドリック錠１ｍｇ,ht
610412044,カプトルナ錠１２．５ｍｇ,ht
610412045,カプトルナ錠２５ｍｇ,ht
610421318,コバシル錠２ｍｇ,ht
610421319,コバシル錠４ｍｇ,ht
610421346,ランデル錠４０　４０ｍｇ,ht
610422142,セタプリル錠５０ｍｇ,ht
610432011,ブロプレス錠２　２ｍｇ,ht
610432012,ブロプレス錠４　４ｍｇ,ht
610432013,ブロプレス錠８　８ｍｇ,ht
610432014,ブロプレス錠１２　１２ｍｇ,ht
610443042,ディオバン錠２０ｍｇ,ht
610443043,ディオバン錠４０ｍｇ,ht
610443044,ディオバン錠８０ｍｇ,ht
610444028,エナラート錠５ｍｇ,ht
610444030,エナラプリル錠５ＭＥＥＫ　５ｍｇ,ht
610444064,スパシオール錠５ｍｇ,ht
610444065,スパシオール錠１０ｍｇ,ht
610444066,スロンタクス錠１００　１００ｍｇ,ht
610444067,スロンタクス錠２００　２００ｍｇ,ht
610444075,セリース錠２．５ｍｇ,ht
610444076,セリース錠５ｍｇ,ht
610444119,ファルプリル錠２．５　２．５ｍｇ,ht
610444120,ファルプリル錠５　５ｍｇ,ht
610453025,エナラート細粒１％,ht
610453037,カプトプリル錠１２．５「ＳＷ」　１２．５ｍｇ,ht
610453089,ハイパジールコーワ錠３　３ｍｇ,ht
610454080,ペルジピン散１０％,ht
610454081,ペルジピン錠２０ｍｇ,ht
610461106,カプトプリル５％細粒,ht
610461108,カプトプリル２５ｍｇ錠,ht
610462038,レセルピン散０．１％,ht
610462039,アーチスト錠１．２５ｍｇ,ht
610462040,アーチスト錠２．５ｍｇ,ht
610463039,エナラプリルＭ錠５「ＥＭＥＣ」　５ｍｇ,ht
610463100,タルロング錠１０ｍｇ,ht
610463125,ナトリックス錠１　１ｍｇ,ht
610470001,カルブロック錠８ｍｇ,ht
610470002,カルブロック錠１６ｍｇ,ht
612140074,カプトリル錠１２．５ｍｇ,ht
612140075,カプトリル錠２５ｍｇ,ht
612140128,セロケン錠２０ｍｇ,ht
612140158,トランデート錠１００ｍｇ,ht
612140159,トランデート錠５０ｍｇ,ht
612140164,ノルモナール錠１５ｍｇ,ht
612140233,ミニプレス錠０．５ｍｇ,ht
612140234,ミニプレス錠１ｍｇ,ht
612140244,メチルドパ錠　１２５ｍｇ,ht
612140245,メチルドパ錠　２５０ｍｇ,ht
612140317,レセルピン錠　０．２５ｍｇ,ht
612140327,ロプレソール錠２０ｍｇ,ht
612140328,ロプレソール錠４０ｍｇ,ht
612140435,デタントール錠０．５ｍｇ,ht
612140436,デタントール錠１ｍｇ,ht
612140443,レニベース錠２．５　２．５ｍｇ,ht
612140444,レニベース錠５　５ｍｇ,ht
612140445,レニベース錠１０　１０ｍｇ,ht
612140450,ブロクリン−Ｌカプセル５ｍｇ,ht
612140451,ブロクリン−Ｌカプセル１５ｍｇ,ht
612140471,ヒドララジン塩酸塩散　１０％,ht
612140472,ヒドララジン塩酸塩錠　１０ｍｇ,ht
612140473,ヒドララジン塩酸塩錠　２５ｍｇ,ht
612140474,ヒドララジン塩酸塩錠　５０ｍｇ,ht
612140479,セタプリル錠１２．５ｍｇ,ht
612140480,セタプリル錠２５ｍｇ,ht
612140481,ローガン錠１０ｍｇ,ht
612140492,アデカット７．５ｍｇ錠,ht
612140493,アデカット１５ｍｇ錠,ht
612140494,アデカット３０ｍｇ錠,ht
612140495,ニバジール錠２ｍｇ,ht
612140496,ニバジール錠４ｍｇ,ht
612140497,ハイトラシン錠０．２５ｍｇ,ht
612140498,ハイトラシン錠０．５ｍｇ,ht
612140499,ハイトラシン錠１ｍｇ,ht
612140500,ハイトラシン錠２ｍｇ,ht
612140501,バソメット錠０．２５ｍｇ,ht
612140502,バソメット錠０．５ｍｇ,ht
612140503,バソメット錠１ｍｇ,ht
612140504,バソメット錠２ｍｇ,ht
612140516,カルデナリン錠０．５ｍｇ,ht
612140517,カルデナリン錠１ｍｇ,ht
612140518,カルデナリン錠２ｍｇ,ht
612140519,カルデナリン錠４ｍｇ,ht
612140521,ハイパジールコーワ錠６　６ｍｇ,ht
612140554,カルスロット錠５　５ｍｇ,ht
612140555,カルスロット錠１０　１０ｍｇ,ht
612140556,カルスロット錠２０　２０ｍｇ,ht
612140557,インヒベース錠０．２５　０．２５ｍｇ,ht
612140558,インヒベース錠０．５　０．５ｍｇ,ht
612140559,インヒベース錠１　１ｍｇ,ht
612140560,テナキシル錠１ｍｇ,ht
612140561,ナトリックス錠２　２ｍｇ,ht
612140580,アプレゾリン錠１０ｍｇ,ht
612140590,アプレゾリン錠２５ｍｇ,ht
612140595,アプレゾリン錠５０ｍｇ,ht
612140601,アポプロン散０．１％,ht
612140617,アルドメット錠１２５　１２５ｍｇ,ht
612140619,メチルドパ錠（ツルハラ）１２５　１２５ｍｇ,ht
612140620,アルドメット錠２５０　２５０ｍｇ,ht
612140637,メチルドパ錠（ツルハラ）２５０　２５０ｍｇ,ht
612140647,ゼストリル錠５　５ｍｇ,ht
612140648,ゼストリル錠１０　１０ｍｇ,ht
612140649,ゼストリル錠２０　２０ｍｇ,ht
612140650,ロンゲス錠５ｍｇ,ht
612140651,ロンゲス錠１０ｍｇ,ht
612140652,ロンゲス錠２０ｍｇ,ht
612140674,テナキシル錠２ｍｇ,ht
612140695,セレクトール錠１００ｍｇ,ht
612140696,セレクトール錠２００ｍｇ,ht
612140697,ヒポカ５ｍｇカプセル,ht
612140698,ヒポカ１０ｍｇカプセル,ht
612140699,ヒポカ１５ｍｇカプセル,ht
612140700,ケルロング錠５ｍｇ,ht
612140701,ケルロング錠１０ｍｇ,ht
612140702,アーチスト錠１０ｍｇ,ht
612140703,アーチスト錠２０ｍｇ,ht
612140704,チバセン錠２．５ｍｇ,ht
612140705,チバセン錠５ｍｇ,ht
612140706,チバセン錠１０ｍｇ,ht
612140711,タナトリル錠２．５　２．５ｍｇ,ht
612140712,タナトリル錠５　５ｍｇ,ht
612140713,タナトリル錠１０　１０ｍｇ,ht
612140718,ランデル錠１０　１０ｍｇ,ht
612140719,ランデル錠２０　２０ｍｇ,ht
612140720,エースコール錠１ｍｇ,ht
612140721,エースコール錠２ｍｇ,ht
612140722,エースコール錠４ｍｇ,ht
612190103,ペルジピン錠１０ｍｇ,ht
612190236,ニスタジール錠２０　２０ｍｇ,ht
612190250,ニスタジール錠１０　１０ｍｇ,ht
620000040,サプレスタカプセル５ｍｇ,ht
620000041,サプレスタカプセル１０ｍｇ,ht
620000080,トーワジール錠２ｍｇ,ht
620000081,ナフトジール錠２　２ｍｇ,ht
620000082,ナフトジール錠４　４ｍｇ,ht
620000131,ベックカプセル５ｍｇ,ht
620000132,ベックカプセル１０ｍｇ,ht
620001877,エナラプリルマレイン酸塩１０ｍｇ錠,ht
620002132,マニカロット錠５ｍｇ,ht
620002133,マニカロット錠１０ｍｇ,ht
620002134,マニカロット錠２０ｍｇ,ht
620002145,メシル酸ドキサゾシン錠１「ＭＥＥＫ」　１ｍｇ,ht
620002146,メシル酸ドキサゾシン錠２「ＭＥＥＫ」　２ｍｇ,ht
620002422,ディオバン錠１６０ｍｇ,ht
620002429,ミカルディス錠２０ｍｇ,ht
620002430,ミカルディス錠４０ｍｇ,ht
620002700,カトラジール錠２．５ｍｇ,ht
620002701,カトラジール錠５ｍｇ,ht
620002757,トーワジール錠４ｍｇ,ht
620003178,ミケランＬＡカプセル１５ｍｇ,ht
620003262,ペリンドプリル錠２ｍｇ「日医工」,ht
620003263,ペリンドプリル錠４ｍｇ「日医工」,ht
620003565,セロケンＬ錠１２０ｍｇ,ht
620003617,ペルジピンＬＡカプセル２０ｍｇ,ht
620003618,ペルジピンＬＡカプセル４０ｍｇ,ht
620004467,カタプレス錠７５μｇ　０．０７５ｍｇ,ht
620004468,カタプレス錠１５０μｇ　０．１５ｍｇ,ht
620004539,ニスタジール散１０％,ht
620004919,アレステン錠１５０ｍｇ,ht
620005002,サプレスタ顆粒２％,ht
620005102,ベック顆粒２％,ht
620005523,ニルバジピン錠２ｍｇ「ＪＧ」,ht
620005524,ニルバジピン錠４ｍｇ「ＪＧ」,ht
620005824,セララ錠２５ｍｇ,ht
620005825,セララ錠５０ｍｇ,ht
620005826,セララ錠１００ｍｇ,ht
620005935,エブランチルカプセル１５ｍｇ,ht
620005936,エブランチルカプセル３０ｍｇ,ht
620006158,リシノプリル錠１０ｍｇ「トーワ」,ht
620006563,エナラプリルマレイン酸塩錠５ｍｇ「ＣＨ」,ht
620006564,エナラプリルマレイン酸塩錠１０ｍｇ「ＣＨ」,ht
620006793,アバプロ錠５０ｍｇ,ht
620006794,アバプロ錠１００ｍｇ,ht
620006796,イルベタン錠５０ｍｇ,ht
620006797,イルベタン錠１００ｍｇ,ht
620007160,ワイテンス錠２ｍｇ,ht
620007917,イミダプリル塩酸塩錠２．５ｍｇ「オーハラ」,ht
620007918,イミダプリル塩酸塩錠２．５ｍｇ「ＪＧ」,ht
620007920,イミダプリル塩酸塩錠２．５ｍｇ「ＴＣＫ」,ht
620007921,イミダプリル塩酸塩錠２．５ｍｇ「ＴＹＫ」,ht
620007923,イミダプリル塩酸塩錠５ｍｇ「オーハラ」,ht
620007924,イミダプリル塩酸塩錠５ｍｇ「ＪＧ」,ht
620007926,イミダプリル塩酸塩錠５ｍｇ「ＴＣＫ」,ht
620007927,イミダプリル塩酸塩錠５ｍｇ「ＴＹＫ」,ht
620007929,イミダプリル塩酸塩錠１０ｍｇ「オーハラ」,ht
620007930,イミダプリル塩酸塩錠１０ｍｇ「ＪＧ」,ht
620007932,イミダプリル塩酸塩錠１０ｍｇ「ＴＣＫ」,ht
620007933,イミダプリル塩酸塩錠１０ｍｇ「ＴＹＫ」,ht
620007943,エナラプリルＭ錠２．５「ＥＭＥＣ」　２．５ｍｇ,ht
620007944,エナラプリルＭ錠１０「ＥＭＥＣ」　１０ｍｇ,ht
620008285,アポプロン錠０．２５ｍｇ,ht
620008291,エナラプリルマレイン酸塩錠２．５ｍｇ「ＣＨ」,ht
620008347,ユープレスドパ錠２５０ｍｇ,ht
620008452,イミダプリル塩酸塩錠２．５ｍｇ「ガレン」,ht
620008453,イミダプリル塩酸塩錠２．５ｍｇ「ケミファ」,ht
620008454,イミダプリル塩酸塩錠２．５ｍｇ「サワイ」,ht
620008455,イミダプリル塩酸塩錠２．５ｍｇ「トーワ」,ht
620008456,イミダプリル塩酸塩錠２．５ｍｇ「日医工」,ht
620008457,イミダプリル塩酸塩錠２．５ｍｇ「ＰＨ」,ht
620008458,イミダプリル塩酸塩錠２．５ｍｇ「ＹＤ」,ht
620008459,イミダプリル塩酸塩錠５ｍｇ「ガレン」,ht
620008460,イミダプリル塩酸塩錠５ｍｇ「ケミファ」,ht
620008461,イミダプリル塩酸塩錠５ｍｇ「サワイ」,ht
620008462,イミダプリル塩酸塩錠５ｍｇ「トーワ」,ht
620008463,イミダプリル塩酸塩錠５ｍｇ「日医工」,ht
620008464,イミダプリル塩酸塩錠５ｍｇ「ＰＨ」,ht
620008465,イミダプリル塩酸塩錠５ｍｇ「ＹＤ」,ht
620008466,イミダプリル塩酸塩錠１０ｍｇ「ガレン」,ht
620008467,イミダプリル塩酸塩錠１０ｍｇ「ケミファ」,ht
620008468,イミダプリル塩酸塩錠１０ｍｇ「サワイ」,ht
620008469,イミダプリル塩酸塩錠１０ｍｇ「トーワ」,ht
620008470,イミダプリル塩酸塩錠１０ｍｇ「日医工」,ht
620008471,イミダプリル塩酸塩錠１０ｍｇ「ＰＨ」,ht
620008472,イミダプリル塩酸塩錠１０ｍｇ「ＹＤ」,ht
620008602,カプトリル−Ｒカプセル１８．７５ｍｇ,ht
620008603,カプトリル細粒５％,ht
620008781,ロプレソールＳＲ錠１２０ｍｇ,ht
620009090,エカード配合錠ＨＤ,ht
620009091,エカード配合錠ＬＤ,ht
620009092,コディオ配合錠ＥＸ,ht
620009093,コディオ配合錠ＭＤ,ht
620009106,ニューロタン錠１００ｍｇ,ht
620009126,ニューロタン錠２５ｍｇ,ht
620009127,ニューロタン錠５０ｍｇ,ht
620009318,シルニジピン錠５ｍｇ「サワイ」,ht
620009319,シルニジピン錠１０ｍｇ「サワイ」,ht
620009355,テモカプリル塩酸塩錠１ｍｇ「ＮＳ」,ht
620009357,テモカプリル塩酸塩錠１ｍｇ「ＮＰ」,ht
620009358,テモカプリル塩酸塩錠１ｍｇ「サワイ」,ht
620009360,テモカプリル塩酸塩錠１ｍｇ「ＪＧ」,ht
620009361,テモカプリル塩酸塩錠１ｍｇ「タイヨー」,ht
620009362,テモカプリル塩酸塩錠１ｍｇ「タカタ」,ht
620009363,テモカプリル塩酸塩錠１ｍｇ「タナベ」,ht
620009364,テモカプリル塩酸塩錠１ｍｇ「ＴＣＫ」,ht
620009365,テモカプリル塩酸塩錠１ｍｇ「日医工」,ht
620009367,テモカプリル塩酸塩錠１ｍｇ「ＹＤ」,ht
620009368,テモカプリル塩酸塩錠２ｍｇ「ＮＳ」,ht
620009370,テモカプリル塩酸塩錠２ｍｇ「ＮＰ」,ht
620009371,テモカプリル塩酸塩錠２ｍｇ「サワイ」,ht
620009373,テモカプリル塩酸塩錠２ｍｇ「ＪＧ」,ht
620009374,テモカプリル塩酸塩錠２ｍｇ「タイヨー」,ht
620009375,テモカプリル塩酸塩錠２ｍｇ「タカタ」,ht
620009376,テモカプリル塩酸塩錠２ｍｇ「タナベ」,ht
620009377,テモカプリル塩酸塩錠２ｍｇ「ＴＣＫ」,ht
620009378,テモカプリル塩酸塩錠２ｍｇ「日医工」,ht
620009380,テモカプリル塩酸塩錠２ｍｇ「ＹＤ」,ht
620009381,テモカプリル塩酸塩錠４ｍｇ「ＮＳ」,ht
620009383,テモカプリル塩酸塩錠４ｍｇ「ＮＰ」,ht
620009384,テモカプリル塩酸塩錠４ｍｇ「サワイ」,ht
620009386,テモカプリル塩酸塩錠４ｍｇ「ＪＧ」,ht
620009387,テモカプリル塩酸塩錠４ｍｇ「タイヨー」,ht
620009388,テモカプリル塩酸塩錠４ｍｇ「タカタ」,ht
620009389,テモカプリル塩酸塩錠４ｍｇ「タナベ」,ht
620009390,テモカプリル塩酸塩錠４ｍｇ「ＴＣＫ」,ht
620009391,テモカプリル塩酸塩錠４ｍｇ「日医工」,ht
620009393,テモカプリル塩酸塩錠４ｍｇ「ＹＤ」,ht
620009394,ドキサゾシン錠０．５ｍｇ「タナベ」,ht
620009395,ドキサゾシン錠１ｍｇ「タナベ」,ht
620009396,ドキサゾシン錠２ｍｇ「タナベ」,ht
620009397,ドキサゾシン錠４ｍｇ「タナベ」,ht
620009442,メシル酸ドキサゾシン錠０．５「ＭＥＥＫ」　０．５ｍｇ,ht
620009443,メシル酸ドキサゾシン錠４「ＭＥＥＫ」　４ｍｇ,ht
620273914,１０％アプレゾリン散「ＳＵＮ」,ht
620281201,アラセプリル錠１２．５ｍｇ「日医工」,ht
620281304,アラセプリル錠１２．５ｍｇ「ＪＧ」,ht
620281601,アラセプリル錠２５ｍｇ「タイヨー」,ht
620281801,アラセプリル錠２５ｍｇ「日医工」,ht
620282504,アラセプリル錠２５ｍｇ「ＪＧ」,ht
620282601,アラセプリル錠２５ｍｇ「サワイ」,ht
620289301,ラベタロール塩酸塩錠５０ｍｇ「トーワ」,ht
620289701,ラベタロール塩酸塩錠１００ｍｇ「トーワ」,ht
620290102,メトプロロール酒石酸塩錠２０ｍｇ「テバ」,ht
620290104,メトプロロール酒石酸塩錠２０ｍｇ「ＴＣＫ」,ht
620290106,メトプロロール酒石酸塩錠２０ｍｇ「トーワ」,ht
620290111,メトプロロール酒石酸塩錠２０ｍｇ「ＪＧ」,ht
620293401,プロプラノロール塩酸塩徐放カプセル６０ｍｇ「サワイ」,ht
620295101,ニカルジピン塩酸塩徐放カプセル２０ｍｇ「日医工」,ht
620295802,ニカルジピン塩酸塩徐放カプセル４０ｍｇ「日医工」,ht
620302701,ベハイドＲＡ配合錠,ht
620347801,ニカルジピン塩酸塩散１０％「日医工」,ht
